Phase,Task #,Workstream,Task Name,Source File(s) in team/final-tasks,Files Changed in symbulate/,Severity/Risk,Requires Team Decision?,Requires __init__.py Sign-off?,Needs Manual/Visual Verification,Done (Y/N)
0,-,Setup,One-time environment + branch setup,claude_code_hierarchical_phase1_guide.md (Section 0-1),N/A,N/A,No,No,No,N
1,1,Audit,Finding 7: License mismatch (setup.py GPLv3 vs MIT LICENSE.txt),audit/finding07_license_mismatch.patch,setup.py,Medium (legal ambiguity) trivial fix,No,No,Visually confirm LICENSE.txt text first,N
1,2,Audit,Finding 16: Add pyproject.toml / harden setup.py packaging,audit/finding16_pyproject_toml.patch,pyproject.toml (new), setup.py,Medium (packaging/future-proofing),No,No,Clean-venv install + smoke import,N
1,3,Audit,Finding 14: BoxModel does not validate box/size,audit/finding14_boxmodel_validation.patch,probability_space.py,Medium (error-message quality),No,No,Confirm size=None and size=inf still work,N
1,4,Audit,Finding 18: results.py hardcodes duplicate VIOLIN_ALPHA constant,audit/finding18_violin_alpha_constant.patch,results.py,Low (behavior-neutral refactor),No,No,None beyond existing violin tests,N
1,5,Audit,Finding 10: standardize() raises raw ZeroDivisionError,audit/finding10_standardize_zerodivision.patch,results.py,Medium (error-message quality),No,No,None beyond new tests,N
1,6,Audit,Finding 12: MultivariateDistribution.corr() divide-by-zero warning noise,audit/finding12_corr_divide_by_zero.patch,distributions.py,Medium (cosmetic; nan is correct answer),No,No,Confirm warning suppressed not math changed,N
1,7,Audit,Finding 5: RandomProcess.__setitem__ silent no-op for bad values,audit/finding05_randomprocess_setitem.patch,random_processes.py,High (violates error-message philosophy),No,No,Confirm old buggy-behavior test fully replaced,N
1,8,Distributions,Rayleigh: add scale parameter,distributions/0004-feature-add-scale-parameter-to-Rayleigh-distribution.patch,distributions.py,Low (backward-compatible default),No,No,Hand-verify mean formula; spot check extreme scales,N
1,9,Distributions,Benford's law distribution (new),distributions/0001-feature-add-Benford-s-law-distribution.patch,distributions.py,Low-Medium (new feature),No,Yes (export Benford),Verify base=2 degenerate case; verify mean constant,N
2,10,Audit,Finding 1: Multinomial/NegativeMultinomial reject valid probability vectors,audit/finding01_multinomial_float_sum.patch,distributions.py,Critical (currently failing test on dev),No,No,Confirm test_Multinomial_plot_pairs now passes; write tests from scratch,N
2,11,Audit,Finding 4: InfiniteTuple.__getitem__ drops step on open-ended slices,audit/finding04_infinitetuple_step.patch,result.py,High (silently wrong numbers),No,No,None beyond 4 listed test cases,N
2,12,Audit,Finding 8: Open-ended slices crash with raw TypeError,audit/finding08_open_slice_crash.patch,random_variables.py; result.py,Medium-High (routine usage crash),No,No,Confirm RV test compares same draw not two draws,N
2,13,Audit,Join/vector-flattening fix (unnumbered regression),audit/join_vector_flattening_fix.md; join_fix.patch,result.py,High (silent wrong numbers - nested Vector loses structure),No,No,Re-run full test suite; check with original PR author,N
2,14,Audit,Finding 3: GARCH/ARCH stationary-variance formula wrong for non-unit-variance noise,audit/symbulate_garch_variance_fix.patch,time_series.py,High (silently wrong numbers - explosive reported as stationary),No,No,Confirm warm-up transient test not at n=0,N
2,15,Audit,Finding 22: AR/ARMA documented mean formula wrong for nonzero-mean noise (docs only),audit/finding22_ar_arma_mean_docs.patch,time_series.py,Medium (docs-only fix),No,No,Confirm doctest baseline before/after unchanged,N
2,16,Distributions,InverseGaussian/Wald distribution (new),distributions/0002-feature-add-InverseGaussian-Wald-distribution.patch,distributions.py,Low-Medium (new feature),No,Yes (export InverseGaussian),Verify mean/var formulas numerically; check mean_param naming collisions,N
